State,Capital,Governor,Chief Minister
Andhra Pradesh,Amaravati,Biswabhushan Harichandan,Y. S. Jagan Mohan Reddy
Arunachal Pradesh,Itanagar,Brigadier B.D Mishra (Retd),Pema Khandu
Assam,Dispur,Jagdish Mukhi,Himanta Biswa Sarma
Bihar,Patna,Phagu Chauhan,Nitish Kumar
Chhattisgarh,Naya Raipur/Bilaspur,Anusuiya Uikey,Bhupesh Bhagel
Goa,Panaji,PS Sreedharan Pillai,Pramod Sawant
Gujarat,Gandhinagar,Acharya Devvrat,Vijay Rupani
Haryana,Chandigarh,Bandaru Dattatreya,Manohar Lal Khattar
Himachal Pradesh,Shimla,Jai Ram Thakur,Rajendra Vishwanath Arlekar
Jharkhand,Ranchi,Ramesh Bais,Hemant Soren
Jammu and Kashmir,Srinagar,Manoj Sinha,NA
Karnataka,Bengaluru,Thawar Chand Gehlot,Sri Basavaraj Bommai
Kerala,Thiruvananthapuram,Arif Mohammed Khan,Pinarayi Vijayan
Madhya Pradesh,Bhopal,Mangubhai Chaganbhai Patel,Shivraj Singh Chouhan
Maharashtra,Mumbai,Bhagat Singh Koshyari,Uddhav Thackeray
Manipur,Imphal,Shri La. Ganesan,N. Biren Singh
Meghalaya,Shillong,Satya Pal Malik,Conrad Kongkal Sangma
Mizoram,Aizwal,Dr. Kambhampati Haribabu,Zoramthanga
Nagaland,Kohima,R. N Ravi,Neiphiu Rio
Odisha,Bhubaneshwar,Prof. Ganeshi Lal MathurÂ ,Naveen Patnaik
Punjab,Chandigarh,Shri Banwarilal Purohit,Captain Amrinder Singh
Rajasthan,Jaipur,Kalraj Mishra,Ashok Gehlot
Sikkim,Gangtok,Ganga Prasad,Prem Singh Tamang (PS Golay)
Tamil Nadu,Chennai,Banwarilal Purohit,M. K. Stalin
Telangana,Hyderabad,Dr Tamilisai Soundararajan,K. Chandrashekhar Rao
Tripura,Agartala,Satyadev Narayan Arya,Biplab Kumar Deb
Uttar Pradesh,Lucknow,Anandiben Patel,Yogi Adityanath
Uttarakhand,Dehradun,Baby Rani Maurya,Shri Pushkar Singh Dhami
West Bengal,Kolkata,Jagdeep Dhankar,Mamata Banerjee
Andaman and Nicobar Island,Port Blair,D K Joshi,NA
Chandigarh,Chandigarh,Banwarilal Purohit,NA
Dadra and Nagar Haveli,	Daman,Praful Patel,NA
Daman and Diu,Daman,Praful Patel,NA
Delhi,Delhi,Anil Baijal,Arvind Kejriwal
Ladakh,NA,Radha Krishna Mathur,NA
Lakshadweep,Kavaratti,Praful Patel,NA
Puducherry,Pondicherry,Dr. Tamilisai Soundararajan,N. Rangaswamy